instance,agent,run,seed,cost,return,done,route
Random_15_nodes,Classic_DP_base,22,10063,165.0,-165.0,True,"[1, 7, 14, 10, 3, 12, 8, 4, 13, 6, 0, 9, 11, 5, 2, 1]"
Random_15_nodes,A2C,22,10063,327.0,-327.0,True,"[1, 11, 9, 12, 8, 4, 10, 0, 7, 13, 6, 3, 14, 2, 5, 1]"
Random_15_nodes,PointerNet,22,10063,548.0,-548.0,True,"[1, 0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 1]"
Random_15_nodes,Heuristic,22,10063,209.2854709625244,-209.2854709625244,True,"[0, 6, 13, 4, 8, 12, 7, 11, 9, 14, 2, 5, 1, 10, 3, 0]"
Random_15_nodes,VI_optimal,23,10064,278.0,-278.0,True,"[3, 7, 14, 10, 2, 12, 8, 4, 13, 6, 0, 9, 11, 5, 1, 3]"
Random_15_nodes,Classic_DP_base,23,10064,278.0,-278.0,True,"[3, 7, 14, 10, 2, 12, 8, 4, 13, 6, 0, 9, 11, 5, 1, 3]"
Random_15_nodes,A2C,23,10064,412.69298553466797,-412.69298553466797,True,"[3, 11, 9, 12, 8, 4, 10, 0, 7, 13, 6, 2, 14, 1, 5, 3]"
Random_15_nodes,PointerNet,23,10064,536.84765625,-536.84765625,True,"[3, 0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 3]"
Random_15_nodes,Heuristic,23,10064,205.86320209503174,-205.86320209503174,True,"[0, 6, 13, 4, 8, 12, 7, 11, 9, 14, 2, 5, 1, 10, 3, 0]"
Random_15_nodes,VI_optimal,24,10065,165.0,-165.0,True,"[1, 7, 14, 10, 3, 12, 8, 4, 13, 6, 0, 9, 11, 5, 2, 1]"
Random_15_nodes,Classic_DP_base,24,10065,165.0,-165.0,True,"[1, 7, 14, 10, 3, 12, 8, 4, 13, 6, 0, 9, 11, 5, 2, 1]"
Random_15_nodes,A2C,24,10065,327.0,-327.0,True,"[1, 11, 9, 12, 8, 4, 10, 0, 7, 13, 6, 3, 14, 2, 5, 1]"
Random_15_nodes,PointerNet,24,10065,548.0,-548.0,True,"[1, 0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 1]"
Random_15_nodes,Heuristic,24,10065,205.09789848327637,-205.09789848327637,True,"[0, 6, 13, 4, 8, 12, 7, 11, 9, 14, 2, 5, 1, 10, 3, 0]"
